pajek,subd_id,subd_name,disc_id,x,y,size,
207,491,Chemistry (Russia),5,2.22,-2.21,4.61,
516,492,GeoPolitics,13,5.9,-1.3,1.59,
190,493,Glaciology,6,1.98,-0.68,1.54,
420,494,Medical Libraries,12,4.41,-2.36,2.14,
496,495,Opera,9,5.86,-0.47,1.23,
483,496,Education,13,5.71,-1.42,1.56,
107,497,Acoustics,4,1.19,-1.78,1.94,
488,498,Pragmatics & Discourse,13,5.78,-0.88,1.65,
288,499,Reproduction Veterinary,10,3.3,-1.37,2.82,
206,500,Crystallography,5,2.22,-2.21,4.42,
61,501,Applied Math,11,0.63,-2.02,3.18,
518,502,Socio-Cultural Anthropology,9,5.91,-0.66,1.61,
267,503,Poultry Science,10,3.01,-1.1,2.31,
369,504,Artifical Organs,12,4.02,-1.7,2.27,
406,505,Physical Therapy; Orthopedic,12,4.26,-1.79,1.72,
324,506,Pulmonary,3,3.77,-1.56,1.87,
113,507,Waste Management,4,1.23,-1.57,2.48,
210,508,Marine Pollution,1,2.22,-0.77,1.96,
264,509,Toxins,5,2.94,-1.84,1.73,
413,510,Hearing Research,8,4.34,-1.51,1.25,
510,511,Human Rights,13,5.89,-1.26,1.43,
351,512,Lung Cancer,3,3.93,-1.45,1.99,
549,513,Social Economics,13,6.11,-1.35,1.51,
244,514,Carbohydrate Research,5,2.63,-1.58,2.08,
270,515,Biotechnology Bioengineering,2,3.03,-1.38,1.79,
529,516,Rural Studies,13,5.93,-1.21,1.29,
75,517,Electronics,7,0.8,-2.12,4.48,
112,518,Defects & Diffusion in Materials,4,1.22,-2.19,1.48,
444,519,Forensic Science,8,4.72,-1.77,2.07,
216,520,Rangeland Ecology,1,2.37,-0.8,1.38,
114,521,Welding,4,1.23,-2.13,1.97,
8,522,Reliability Engineering,13,0.05,-1.81,1.9,
290,523,Molecular Biology Methods,10,3.32,-1.28,3.96,
237,524,Mammals,1,2.57,-0.72,1.47,
357,525,Impotence,3,3.95,-1.07,1.73,
44,526,Fuzzy Logic,7,0.47,-1.9,2.73,
533,527,Tourism,13,5.93,-1.44,1.64,
247,528,Aquatic Disease,1,2.65,-0.64,1.53,
177,529,Geographic Information Science,6,1.89,-0.55,1.78,
322,530,Hormone Research,3,3.75,-1.87,1.76,
371,531,Public Health,12,4.02,-2.24,1.7,
438,532,Sleep,8,4.61,-1.59,1.66,
433,533,Neurotoxicology,8,4.54,-1.66,1.45,
329,534,Pediatric Research,3,3.81,-1.69,2.24,
490,535,Education Psychological Measures,13,5.82,-1.74,1.24,
524,536,Marketing,13,5.92,-1.54,1.64,
385,537,Clinical Medicine (Romania),3,4.1,-1.46,1.71,
209,538,Green Chemistry,5,2.22,-2.2,1.42,
354,539,Optometry,12,3.94,-1.96,1.58,
162,540,Textile Art,4,1.69,-1.93,1.29,
499,541,Italian Studies,9,5.87,-0.55,1.65,
430,542,Perception Motor Skills,12,4.51,-1.87,1.4,
522,543,World Trade; Law,13,5.91,-1.18,1.17,
243,544,Insects,1,2.63,-0.71,1.4,
228,545,Australian Ecology,1,2.49,-0.72,1.2,
175,546,Paints & Coatings,5,1.86,-2.23,1.39,
447,547,Nursing Theory,12,4.74,-2.31,1.26,
225,548,Crustaceans,1,2.43,-0.66,1.37,
349,549,Laser Surgery,12,3.9,-2.02,1.44,
150,550,Bulk Solid Handling,4,1.56,-1.36,1.11,
220,551,Wetlands,1,2.4,-0.69,1.05,
186,552,GIS (non English),6,1.96,-0.57,1,
77,553,Hydraulics,7,0.82,-1.75,1,
293,554,Agricultural Environmental Medicine,10,3.4,-1.38,1.46,
