pajek,subd_id,subd_name,disc_id,x,y,size,
222,113,Biological Conservation,1,2.41,-0.75,2.37,
367,114,Thoracic Surgery,3,4.01,-1.59,4.54,
262,115,Phytochemistry,5,2.9,-2.08,3.78,
287,116,Tropical Medicine,10,3.29,-1.08,2.94,
276,117,Food Protection,2,3.09,-1.41,2.36,
50,118,Broadband Communication,7,0.52,-1.84,2.19,
138,119,Energy Fuel,4,1.5,-1.66,2.63,
208,120,Soil Quality,4,2.22,-0.95,1.83,
58,121,Integrated Circuit Design,7,0.56,-1.88,2.54,
553,122,Philosophy Psychology,9,6.12,-0.38,2.33,
550,123,Construction & Project Management,13,6.11,-1.58,1.74,
479,124,Social Psychology,13,5.52,-1.62,2.19,
85,125,High Energy Physics,11,0.94,-2.21,7.62,
538,126,Strategic Management,13,5.99,-1.53,2.3,
285,127,Genomics & Nucleic Acids,2,3.24,-1.16,4.48,
122,128,Heat Transfer,4,1.29,-1.88,3.04,
143,129,Cement & Concrete,4,1.54,-1.66,2.4,
327,130,Pathology,3,3.78,-1.44,3.44,
256,131,Pest Management Science,1,2.82,-0.85,2.1,
142,132,Corrosion,4,1.54,-2.27,2.3,
282,133,Veterinary Science,10,3.15,-1.21,3.12,
486,134,Teacher Education; Evaluation,13,5.75,-1.52,1.76,
304,135,Stem Cells,3,3.55,-1.66,2.64,
36,136,Image Processing,7,0.43,-1.9,2.66,
27,137,Neural Networks,7,0.38,-1.81,2.46,
446,138,Nursing Education,12,4.73,-2.27,1.85,
372,139,Intensive Care,3,4.02,-1.64,3.1,
391,140,Alternative Complementary Medicine,12,4.12,-1.82,1.9,
146,141,Petroleum Engineering,4,1.55,-1.37,1.82,
492,142,Music & Theatre,9,5.85,-0.38,2.03,
457,143,Memory & Cognition,8,4.97,-1.6,1.95,
440,144,Vision,8,4.64,-1.72,2.51,
525,145,Communication Research,13,5.92,-1.46,1.94,
273,146,BioInformatics,2,3.07,-1.36,1.96,
103,147,Mechanics of Solids & Structures,4,1.16,-1.87,2.65,
336,148,Pharmacy,3,3.84,-1.89,2.35,
189,149,Geomorphology,6,1.97,-0.71,1.84,
450,150,Psychosis; Schizophrenia,8,4.81,-1.67,2.89,
421,151,BioEthics,12,4.43,-2.33,1.8,
43,152,Parellel Computing,7,0.47,-1.74,2.09,
65,153,Power Distribution,7,0.65,-1.93,2.94,
462,154,Gerontology,12,5.11,-1.81,1.84,
141,155,Wood,4,1.53,-1.88,1.9,
20,156,Discrete Applied Mathematics,11,0.33,-1.97,2.56,
180,157,Geology & Tectonics,6,1.9,-0.64,2.63,
176,158,GeoChemistry,6,1.87,-0.64,1.76,
37,159,Mobile Networks,7,0.43,-1.81,1.79,
23,160,Artificial Intelligence,7,0.34,-1.77,1.99,
204,161,Electro Analytical Chemistry,5,2.2,-2.24,4.21,
399,162,Dental Education,12,4.19,-2.17,2.06,
263,163,Enzyme Microbiological Techniques,2,2.92,-1.43,2.27,
7,164,Library Science; Infomation Retrieval,7,0,-1.64,1.96,
383,165,Biomaterials,12,4.09,-1.94,3.55,
184,166,Quaternary Research,6,1.94,-0.63,1.79,
360,167,Endoscopic Surgery,3,3.97,-1.2,2.44,
128,168,Composites,4,1.35,-1.91,2.38,
482,169,Language Learning,13,5.69,-1.19,1.43,
514,170,American History,9,5.89,-0.75,1.24,
541,171,Leadership & Organizational Behavior,13,6.01,-1.56,1.62,
212,172,Agricultural Engineering,4,2.25,-1.08,1.81,
11,173,Computer-Aided Process Planning,13,0.08,-1.68,2.55,
452,174,Geriatrics,8,4.87,-1.65,2.31,
80,175,Solid State Electronics,7,0.86,-2.09,3.4,
86,176,Optics & Lasers,11,0.94,-2.21,5.23,
153,177,Wool,4,1.56,-1.91,1.81,
398,178,Biomechanics,12,4.19,-1.82,2.2,
132,179,Molecular Physics,5,1.4,-2.32,5.67,
245,180,Comparative Animal Physiology,1,2.63,-0.74,2.08,
513,181,Political Science,13,5.89,-1.29,1.63,
531,182,Science History,9,5.93,-0.61,1.42,
511,183,Poetry,9,5.89,-0.57,1.64,
384,184,Nuclear Medicine,3,4.09,-1.32,2.32,
130,185,Nanotechnology,5,1.38,-2.21,3.81,
47,186,Speech Recognition,7,0.48,-1.91,3.4,
106,187,Fluid Mechanics,4,1.18,-1.87,2.44,
29,188,Computer Graphics,7,0.39,-1.87,1.77,
164,189,Filtration Membrane,4,1.71,-1.92,2.28,
306,190,Clinical Infectious Disease,3,3.57,-1.42,2.86,
389,191,Prosthetic Dentistry,12,4.11,-2.09,1.95,
377,192,Orthodontics,12,4.05,-2.03,1.95,
56,193,Robotic Systems,7,0.55,-1.83,3,
382,194,Dental Research,12,4.08,-2.08,2.24,
239,195,Atomic Spectrometry,5,2.59,-2.14,2.03,
240,196,Botany,1,2.6,-0.93,2.04,
386,197,Public Health Service,12,4.11,-2.39,1.99,
528,198,Political Geography,13,5.92,-1.29,1.82,
168,199,Catalysis,5,1.8,-2.17,4.58,
396,200,Radiation Protection,3,4.18,-1.18,2.46,
94,201,Machine Tools,4,1.09,-2.08,2.22,
277,202,Veterinary Medicine,10,3.1,-1.23,2.51,
373,203,Periodontology,12,4.03,-2.05,2.13,
346,204,Birth Defects,3,3.9,-1.68,1.8,
347,205,Thrombosis,3,3.9,-1.71,2.2,
217,206,Freshwater Biology,1,2.37,-0.71,1.49,
449,207,Mental Health Nursing,12,4.81,-2.19,2.13,
14,208,Artificial Evolution,7,0.24,-1.75,1.83,
502,209,English Literature,9,5.87,-0.57,3.64,
388,210,Plastic Surgery,12,4.11,-1.8,2.93,
442,211,Nursing Administration,12,4.67,-2.32,1.6,
519,212,Higher Education,13,5.91,-1.54,3.06,
233,213,Ecology,1,2.54,-0.75,2.11,
506,214,Modern Language,9,5.87,-0.57,1.81,
422,215,Neurophsyiology & Neuroscience,8,4.44,-1.59,4.03,
137,216,Mining,4,1.49,-1.52,1.66,
248,217,Aquaculture,1,2.67,-0.78,2.31,
255,218,Molecular Biological Evolution,1,2.79,-0.8,2.13,
83,219,Photonics,11,0.91,-2.21,3.31,
530,220,Urban Studies,13,5.93,-1.34,1.53,
31,221,Functional Analysis,11,0.4,-2.05,1.9,
489,222,Linguistics,9,5.81,-0.71,2.1,
82,223,Photo-Optics,7,0.88,-2.13,2.22,
400,224,Spine,12,4.2,-1.69,2.61,
69,225,Robotics,7,0.7,-1.82,1.79,
426,226,Audiology,12,4.46,-1.57,1.49,
203,227,Soil Science,4,2.2,-0.89,2.58,
70,228,Simulation,11,0.71,-2.05,1.73,
88,229,Nuclear Instrumentation,11,0.96,-2.2,5.39,
504,230,Hispanic Studies,9,5.87,-0.57,1.44,
223,231,Forest Science,1,2.41,-0.84,2.19,
84,232,Plasma Physics,11,0.93,-2.17,4.28,
274,233,Proteomics,2,3.07,-1.56,2.04,
487,234,Symbolic Interaction,13,5.75,-1.46,1.31,
465,235,Child & Adolescent Psychiatry,8,5.16,-1.66,1.59,
